Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-03-31,7,129,199,211,125,4,4,63,79,35,66,40,14,25,19,2.0,16,16,2,0,0.0,3.0,0,1.0,1.0,0.0,0.0,0.0,1.0,,
2010-04-01,13,179,258,228,144,5,4,74,75,54,69,55,20,27,25,5.0,11,9,1,0,0.0,6.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,
2010-04-02,8,134,186,241,141,1,10,62,68,50,67,50,11,42,27,2.0,12,8,1,1,0.0,10.0,0,3.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-03,8,121,184,202,136,1,4,55,58,24,46,41,11,29,24,6.0,12,3,5,1,0.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,,
2010-04-04,11,71,162,193,112,1,5,51,67,34,58,45,6,34,18,2.0,7,3,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,,
2010-04-05,7,102,207,181,126,1,3,80,59,49,62,46,6,19,38,0.0,8,0,2,2,0.0,6.0,0,0.0,2.0,2.0,0.0,0.0,0.0,,
2010-04-06,4,133,179,203,116,6,3,56,82,33,67,57,17,42,27,3.0,14,9,2,0,0.0,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,,
2010-04-07,5,132,181,145,96,5,1,64,55,21,75,50,6,38,22,1.0,9,2,0,1,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-08,4,155,211,164,133,3,1,74,78,38,72,41,13,27,27,6.0,17,10,2,1,0.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0.0,,
2010-04-09,12,147,207,188,141,0,2,54,63,44,67,39,11,36,16,2.0,14,13,3,4,0.0,6.0,0,0.0,2.0,2.0,1.0,0.0,0.0,,
